headline,label
seppala revenue increase 02 eur 10 1 finland revenue go 24 our 8 sale abroad rise 62 our 3 sale increase baltic country well russia ukraine,positive
share standard chartered stand rise 12 fuse 100 royal bank scotland rib share rise 2 barclay share bare bus 17,positive
share nikita corps rise thursday cell phone maker say thirdquarter earning almost double share global hand market increase,positive
financial report publish friday see say net profit soar see 745 in 2010 yearearli see 114 in propose 50 dividend increase see 50 per share,positive
sale department store division increase 15 sale clothing store subsidiary seppala increase 8 meanwhile sale hobby hall decrease 12,positive
request finnish medium company alma medium newspaper research manager jar kaivooja finland future research centre turk school economic draw future scenario finland national economy use model develop university denver,neutral
sweden gallery accumulate see renominate sale 1 our renominate sale 11,neutral
company support global customer develop new technology offer fast route product development application volume production,neutral
investment place area plan expand moscow market,neutral
new agreement continuation theagreement sign early year lemminkainen group whereby cramp acquire entire construction machine fleet oflemminkainen talk of it ja pohjois some sign similar agreement say taut hauhio manage director ofcramo finland,neutral
first contract envisagez construction three ferryboat option two unit confirm total value 500 man neur o 6458 man,positive
june sell 30 percent stake nordstjernan investment group take option acquire eat remain share,neutral
desk corporation stock exchange release 28022008 0930 1 1 desk corporation asp ply today sign agreement asp acquire share capital kaukotelko ltd subsidiary wholly own desk,positive
sonya ply stock exchange release 5 december 2006 1545 our 15 billion indicate credit facility sonya sonya sign agreement oneyear indicate credit facility total our 15 billion,positive
stock exchange announcement 20 july 2006 1 1 aware share subscription warrant increase share capital total 119 850 share subscribe aware warrant program,neutral
contract cover do platform ac800 cxe880 optical fate node design increase forward return path capacity transmission network,positive
new plant plan electricity generation capacity 350 megawatt my heat generation capacity,neutral
ox helsinki 25 index 092 put 251867 helsinki cap portfolio index 091 put high 471119,positive
sale growth car considerably influence tire market,neutral
maximum 666104 new share subscribe exercise b option 2004 stock option plan,neutral
result share issue number company share increase 391630 share share capital total our 1566520,neutral
finnish real estate investor sonya ply say wednesday 12 march sign agreement dense bank helsinki branch year eur 150 m credit facility ilmarinen mutual pension insurance company year eur 50 m credit facility,neutral
route helsinki finland talk esthonia cargo volume increase 36 cargo volume finland sweden fall 9,neutral
measure include increase energy economy scale within grimaldi group personnel adjustment investment delivery excess tonnage,neutral
rinkuskiai raise sale 181 percent 137 million liner sale aunt anus grow 143 percent 960000 liner,positive
telecomworldwire7 april 2006tj group ply cell stake morning digital design of finnish company to group ply say friday 7 april sign agreement sell share morning digital design of edit of,neutral
telecomworldwire7 april 2006tj group ply cell stake morning digital design of finnish company to group ply say friday 7 april sign agreement sell share morning digital design of edit of,positive
718430 new series share become subject trading helsinki stock exchange main list together old series share july 3 2006,neutral
fuel purchase contract sign three month delivery september november,neutral
tiimari operate 194 store six country include core finnish market generate turnover 765 man our 2005,neutral
agreement biohit become focus supplier pipettor disposal pipettor tip ver customer throughout eur ope,positive
combination service enable we offer complex strengthen service chain limit baltic port connection also get access world wide grimaldi network mediterranean africa north america say we bakosch,positive
blindspot come 1 vantage point allow investigator see whole story high resolution unbroken video,neutral
company still expect turnover 2010 slightly increase level 2009 add market predictability still poor trustworthy forecast market development contract manufacturing business current year,positive
acquisition considerably increase femora sale market position russian metal industry coating market,positive
januaryseptember 2007 incline net sale rise our 5054 in our 4735 in corresponding period 2006,positive
adjust change group structure division net sale increase 17,positive
change optimism operational deficiency grow business say julia prohaska director marketing communication fiskar,positive
would invest physical infrastructure would also provide knowhow manage develop science technology part say sunrise valley director andros bagdonas,positive
4 february 2011 finnish broadband datum communication system provider delete of he tlt1v see net profit jump our 1 last quarter 2010 eur 995 000 period 2009,positive
finnish anti group operating profit rise our 175 in first quarter 2010 our 82 in first quarter 2009,positive
finnish bank land consolidate net operating profit increase our 48 in first quarter 2005 our 64 in first quarter 2006,positive
finnish financial group anti report operate profit our 444 in januaryseptember 2009 our 373 in corresponding period 2008,positive
finnish high technology provider vaahto group report net sale our 418 in accounting period september 2007 february 2008 increase 112 year early,positive
net sale finnish food industry company linen tehtaat continue operation increase 13 2008 our 3491 in our 3096 in 2007,positive
individual promotion also generate slightly higherthanexpecte revenue,positive
biohit already service many current genesis customer customer base expect expand result agreement,positive
operate profit turnover threemonth period increase respectively our 9 our 3 compare corresponding period 2005,positive
circulation revenue increase 5 finland 4 sweden 2008,positive
clothing chain seppælæ net sale increase 70 our 308 in,positive
construction volume meanwhile grow rate 1015 percent annually,positive
finnish swedish construction market still experience estimate 4 annual growth 2008,positive
however biohit estimate total net sale continue grow 2009 favourable tend net sale lead profit 2009,positive
2009 fiskar cash flow operating activity amount eur 121 m eur 97 m previous year,positive
lithuania operating profit rise our 190000 our 70000 corresponding period 2005,positive
fourth quarter 2008 net sale increase 2 our 10507 in our 10270 in fourth quarter 2007,positive
international sale rise 598 our 12444 in,positive
palmar expand generate net sale 113 man neur o 148 man 2005,neutral
net sale grow period x20ac 402 million 585us million x20ac 401 million 2006,positive
net sale increase eur 655 m april june 2010 eur 438 m year early,positive
net sale rise 255 yearonyear eur 59 6 number charge deliver go 41 659 million piece,positive
net sale total our 936 in our 932 in corresponding period 2005,positive
nikita also note average selling price handiest declined period though mobile phone profit margin rise 22 percent 13 percent yearago quarter,positive
operate profit increase 1451 our 83 in our 34 in,positive
operate profit margin increase 112 117,positive
operating profit rise our 311 in our 122 in corresponding period 2009,positive
operating profit rise our in our 28 in fourth quarter 2008,positive
operate profit our 245 in our 230 in,positive
raiment net sale second quarterended june 30 neur o 1287 million us 163 million percent increase compare neur o 1246 million thesecond quarter last year,positive
revenue grow 2 percent x20ac 580 million 743 million x20ac 569 million,positive
ruukki announce sign agreement baker solution norway supply 24 suction anchor september 2010 kalajoki unit finland,positive
ruukki delivery volume sell price show favourable development company comparable net sale grow 50 yearonyear eur 647 m co makar tamminen say,positive
sarcoma magazine net sale estimate grow 2006,positive
bank forecast finland gdp grow 2 2010 2011,positive
circuit overall production rate weekly basis excess average 40000 tone per day volume excess 50000 tone per day reach individual day,positive
company consolidated operating profit amount our 1586 in our 414 in yearonyear,positive
department store division report increase sale 4 per cent,positive
fair value company investment property grow our 2803 billion end march 2009 our 2691 million year ago,positive
last quarter good quarter 2009 net sale operating margin rise 122,positive
major reverie increase domestic beer sale 45 per cent last year 25688 million litre 24592 million litre 2004,positive
transaction double tecnomen workforce add fourth net sale,positive
operating profit rise 269 our 1058 834 million,positive
purchase cramp become second large rental service provider latvia market,positive
priority 2009 strengthen company balance sheet increase cash flow co hanna rook say,positive
purchase operation part it strategy expand offer building system service geographical,positive
21 october 2010 finnish fishing tackle company ranula my corps he rapid say today net profit rise eur 18 9 first nine month 2010 eur 15 1 period year early,positive
structure he build information model software tell modelbase software provider adopt construction management delivery university project au habit,neutral
accord finnish meet mineral value company order go our 19 in 12 month,positive
finnish data solution sign contract supply gold system two french retail chain,positive
finnish bank land report operating profit rise our 213 in second quarter 2009 our 61 in corresponding period 2008,positive
finnish financial group anti operating profit 2009 increase our 470 in our 66 in 2008,positive
finnish forest machinery manufacturer pose net sale grow our 513 in first quarter 2010 our 375 in corresponding period 2009,positive
finnish ici konecrane raise net sale growth estimate 2006 25 35,positive
finnish mimetic manufacture process silicon wafers semiconductor senior industry norwegian solar water company dorsum sign contract mimetic supply dorsum mon silicon crystal use solar cell manufacturing,positive
finnish pharmaceutical company onion net sale rise our 190 millionn first quarter 2009 our 180 millionn first quarter 2008,positive
finnish pose sign agreement babcock africa distribution support pose forest machine harvest head information system south africa,positive
south african sappy become large foreign forest industry company operate finland result acquisition finnish real corporation graphic paper business unit,positive
accord deputy md petya silvennoinen aim double turnover next three year,positive
accord scan finland plan increase jærvisuomen port net sale our damn our 100 millionn,positive
advertising circulation revenue grow 34 04 respectively,positive
takeover cramp become second large rental service provider latvia market,positive
significant sale increase 186 russia,positive
alma medium expect net sale increase forecast previously,positive
also lemminkæinen profit accounting period go our 31 in our 245 in year ago,positive
end march 2007 group order book our 396 in 42 corresponding period 2006,positive
time profit company increase 10 he reach be 79000,positive
aviation system maintenance base kansas generate net sale we 26 million 2008,neutral
besides increase share meat various sausage offer number new taste drill product swish kebabs segment travel say,positive
operate profit net sale month period increase respectively eur 10 5 eur 28 8 compare financial year 2004,positive
operate profit net sale month period increase respectively eur 20 8 eur 177 7 compare financial year 2004,positive
operate profit net sale month period increase respectively eur 21 5 eur 196 1 compare 2005,positive
operate profit net sale month period increase respectively our 7 eur 26 7 compare 2004,positive
operate profit net sale ninemonth period increase respectively 266 34 compare corresponding period 2006,positive
operate profit net sale sixmonth period increase respectively eur 13 8 eur 143 6 compare corresponding period 2007,positive
operate profit net sale sixmonth period increase respectively our 4 our 2 compare corresponding period 2005,positive
operate profit net sale sixmonth period increase respectively eur 18 1 eur 127 6 compare corresponding period 2006,positive
operate profit net sale sixmonth period increase respectively our 5 eur 655 5 compare corresponding period 2005,positive
operate profit net sale threemonth period increase respectively eur 15 1 eur 131 5 compare corresponding period 2005,positive
operate profit net sale threemonth period increase respectively eur 16 0 eur 139 m compare corresponding quarter 2006,positive
operate profit sale threemonth period increase respectively our 3 eur 13 1 compare corresponding period 2005,positive
operate profit turnover ninemonth period increase respectively our 4 eur 43 8 compare corresponding period year ago,positive
operate profit turnover sixmonth period increase respectively eur 17 6 eur 1149 9 compare corresponding period 2007,positive
operate profit turnover sixmonth period increase respectively our 1 eur 29 0 compare correspond period year ago,positive
cargo volume grow 7,positive
cargo volume increase approximately 5,positive
comparable operating profit total our 854 millionn our 730 millionn 2004,positive
digit say consolidated net sale januaryjune 2010 eur 67 8 97 period 2009 eur 61 9,positive
dilute earning per share es rise our 029 our 005,positive
dilute earning per share es rise our 052 versus our 009,positive
dilute earning per share es rise our 105 our 064,positive
dilute earning per share es rise our 368 our 050,positive
dilute es rose our 68 our 50,positive
bit margin 14 51,positive
editor note grimaldi generate 17 ban neur o 2182 ban turnover 2005 anna report may 29 2006,neutral
es quarter our 00 compare our 01 third quarter 2008 represent group net sale third quarter eur 15 3 28 compare eur 14 9 third quarter 2008,positive
es continue operation come 030 our 017,positive
equity ratio 609 compare 542 third quarter 2007 net sale frozen food business total our 110 5 third quarter 2006,positive
eur 928 000 qu 2010 6 may 2010 finnish textile clothing design company marimekko of he mmo1v say today net profit rise eur 928 000 first quarter 2010 eur 13 000 corresponding period year early,positive
finlandbase elcoteq se privately hold provider electronic manufacturing service communication company say thursday sign long manufacture supply deal communication equipment company andrew corps,positive
finnish cutlery hand tool maker fiskar of abe he fist say today net profit rise our 241 million us 336 third quarter 2010 our 179 million year early,positive
finnish department store chain stockman of abe net profit rise 398 man neur o 568 man first nine month 2007 374 man neur o 534 man period 2006,positive
finnish lifting equipment maker konecrane of say july 30 2008 net profit rise 712 man neur o 1111 man first half 2008 571 man neur o 891 man period 2007,positive
finnish essay solution developer tecnoman corporation ox helsinki temp say thursday 11 december receive expansion order convenient charge solution latin america,positive
finnish metal industry solution supplier outotec of net profit rise 504 man neur o 725 man first nine month 2007 201 man neur o 289 man period 2006,positive
finnish metal product company component of net profit rise 261 man neur o 359 man first quarter 2007 53 man neur o 73 man period 2006,positive
finnish office supply computer accessory dealer belttongroup ply say net profit rise 13 man neur o 17 man 2006 113 man neur o 15 man 2005,positive
finnish security privacy software solution developer stonesoft of say january 7 2008 preliminary sale stonegate product grow 59 put yearonyear 36 man neur o 53 man fourth quarter 2007,positive
finnish silicon water technology company mimetic of ox helsinki okm1v report thursday 7 august operating profit our 3 period januaryjune 2008 our 3 corresponding period 2007,positive
finnish software developer do solution of say net profit increase 35 man neur o 46 man 2006 23 man neur o 30 man 2005,positive
first quarter underlie operating profit rise 41 man our 33 man year early,positive
follow acquisition relacom strengthen presence finland serve operator office market mobile fix network construction installation maintenance service,positive
first nine month 2010 company net profit rise eur 41 m eur 30 m corresponding period 2009,positive
helsinki ax retail wholesale group desk report net sale 6594 man our february increase 108 put yearonyear,positive
however net sale 2010 see grow eur 598 3 eur 582 3 2009,positive
however sale return growth apriljune 2010 co petya eloholma say,positive
ragutis control finnish brewery report percent rise beer sale 1044 million litre hold 1109percent market share,positive
svyturysutenos anus control sordid group baltic beverage hold bah post percent growth beer sale januarymay 4622 million litre,positive
2007 contempt generate revenue not 693 approve,neutral
addition one sign twoyear maintenance contract escalator,positive
december alone members lithuania brewery association sell total 203 million liner beer increase 19 percent sale 1992 million liner december 2004,positive
januaryseptember 2009 group net interest income increase our 1124 in our 743 in januaryseptember 2008,positive
qu 2010 bank land net interest income increase our 91 in our 97 in,positive
sweden operating profit period review total our 34 in 308 corresponding period 2005,positive
fourth quarter 2009 onion net profit go 338 yearonyear eur 33 m,positive
second quarter 2010 group net profit rise our 31 million our 25 million apriljune 2009,positive
second quarter 2010 group net profit rise our 1 our 5 apriljune 2009,positive
third quarter net sale increase 12 yearonyear our 1595 million 6 comparable currency rate growth,positive
third quarter net sale increase 12 yearonyear eur 159 5 6 comparable currency rate growth,positive
cap estimate generate revenue 10 man neur o 132 man indian operation 2007,neutral
market share widen 4851 percent 4831 percent year early,positive
total annual revenue come 160 man clot 569 mln42 3 man neur o,neutral
desk ago west retailer wholesale grain agricultural warehousing machinery accessory net sale 81 million eur ope 2007 increase onetenth precede year,positive
desk car import retailing business auto see sale grow 171 put,positive
one net sale rise 14 yearonyear first nine month 2008,positive
add news feb 11 2009 finnish management software solution provider icon of he xns1v say today net profit rise our 35 million us 45 2008 our 31 million 2007,positive
add news feb 12 2009 finnish solution provider affect of he afe1v say today net profit rise our 85 million us he 2008 our 7 million 2007,positive
add news feb 6 2009 finnish fishing tackle company ranula my corps he rapid say today net profit rise our 192 million us 246 2008 our 175 million 2007,positive
add news nov 5 2008 finnish electronic measurement product solution maker vassal of ox vein say today net profit rise our 18 million us 231 first nine month 2008 our 1,positive
add news oct 29 2008 finnish lifting equipment maker konecrane of ox kcr1v say today net profit rise our 1166 million us 1491 first nine month 2008 our 736 million,positive
meet expect net sale increase 10 2008 comparable exchange rate,positive
real generate turnover our 6 in 2006 15500 employee,neutral
nest oil corp sign long procurement contract honkajoki of fine protein of own finnish food manufacturer supply animal fat biodiesel production nest 200000 bed porto finland refine,positive
net interest income increase 45 our 314 in our 300 in 2004,positive
net interest income our 1522 in our 1010 in 2008,positive
net interest income our 393 in our 327 in,positive
net sale vegetable oil business rise our 106 in our 101 in,positive
nikita multimedia net sale total our 57 in 45 corresponding period 2005,positive
operate income rise our 6964 in our 6003 in 2009,positive
operate profit kauppalehti group rise our 15 in our 13 in marketplace our 13 in our 10 in third quarter 2006,positive
operating profit rise our 194 in our 245 in,positive
operating profit rise 221 man our 199 man,positive
operating profit rise our 16 in our 11 in corresponding period 2006,positive
operating profit rise our 1034 in our 232 corresponding period 2006,positive
operating profit rise our 135 in our 97 in corresponding period 2006,positive
operating profit rise our 267 in our 149 in corresponding period 2006,positive
operating profit rise our 278 in our 175 in 2008,positive
operating profit rise our 32 in our 10 in corresponding period 2008,positive
operating profit rise our 47 in our 36 in,positive
operating profit rise our 47 in our 46 in,positive
operating profit rise our 92 in our 68 in corresponding period 2007,positive
operating profit rise our 4 our 6 year early,positive
operating profit urge eur 21 m eur 106 000,positive
operate profit total our 377 in slightly our 372 in corresponding period 2006,positive
operate profit total our 55 in our 07 in,positive
operate profit our 114 in our 75 in,positive
operate profit our 1397 in 23 our 1138 in,positive
order intake grow 40 yearonyear 30 yearonyear respectively our 576 million our 17 billion respective januaryseptember julyseptember 2010 period,positive
order receive grow 55 yearonyear eur 732 m,positive
onion parma operating profit increase 425 2004,positive
passenger volume rise 84 accounting period,positive
passengerrelate revenue rise 51 our 4608 in our 4385 in 2009,positive
press release 9 october 2009 ruukki sign contract deliver install steel structure bridge kyronsalmi strait savonlinna finland,positive
pretty profit rise our 06 in our 04 in corresponding period 2005,positive
pretty profit rise our 1019 in our 1007 corresponding period 2005,positive
pretty profit rise our 178 in our 149 in 2005,positive
pretty profit total our 3974 in our 1647 in,positive
previously company guide bit sale growth 20 put 10 put respectively year,positive
previously company estimate operating profit reach level 2005,positive
profit period total our 394 in our 339 in corresponding period 2006,positive
profit period our 59 in our 13 in,positive
profit period our 98 in our 60 in 2004,positive
revenue grow 12 percent x20ac 36 billion us 45 billion,positive
revenue july september grow 14 percent neur o 467 million year early company say thursday,positive
revenue time grow 14 percent 43 million eur ope,positive
ruukki sign contract deliver install steel structure bridge kyronsalmi strait savonlinna finland,positive
sale latin america increase 42 our 432 millionn total 87 in mobile device sell area represent increase 32 corresponding period 2009,positive
sale clothing develop well,positive
sarcoma magazines finland net sale grow our 1401 in our 1318 in,positive
stamp net profit third quarter 2007 rise 275000 neur o 395000 270000 neur o 388000 period 2006,positive
section regional news demand finnair asia traffic measure passenger kilometre 349 august compare last year,positive
svyturysutenos anus control sordid group baltic beverage hold bah post 61 percent growth beer sale januaryseptember 10199 million liner,positive
would increase estimate sale 117 million last year,positive
agreement expand tell structure scope use bridge design,positive
aim increase sale least one fifth 2006,positive
chain post sale 298 million eur ope full 2005 rise 195 percent yearonyear,positive
company expect net sale 2008 increase 510 2007,positive
company expect net sale first half 2008 reach previous year level,positive
company process build new fleet place order 10 max banker 65200 dot,positive
company operate income bit total our 00 in our 03 in yearonyear,positive
es outlook increase 56 put 2007 70 put 2008,positive
fair value investment property total our 25349 in our 24551 in 2006,positive
finnish government announce wednesday sell 32 percent stake chemical fertilize group femora of x20ac 6556 million 890u million send company share price 6 percent,positive
firm generate sale 187 man our 2005,neutral
german company also sign code share agreement another oneworld member american airline in part base be corps nose be,positive
helsinkibase company also own solomon atomic santo band say net profit rise 15 percent three month dec 31 x20ac 47 million us million x20ac 408 million year early,positive
increase capital stock register finnish trade register 20 november 2006,positive
operate profit grain trading increase our 20 in our 14 in 2005,positive
stock rise second day wednesday bring today rise gbx12 0 20,positive
stock rise third day tuesday bring threeday rise gbx10 50 18,positive
transaction line asp strategy expand baltic sea region eastern market,positive
transaction would increase earning per share first quarter our 28,positive
recovery base metal price increase demand metal china however,positive
new representation extend compel global presence total 18 country serve 250 customer 80 country worldwide,positive
tietoenator use nikita intellisync mobile suite tireless email calendar device management capability company extend service customer,positive
total operate revenue grow 276 yearonyear eur 61 m,positive
bacon cash flow operation grow our 371 in our 219 in year ago,positive
bacon supply drive ruselprom power range 200 w 2 my,neutral
also strengthen exist partnership cybercom say delete to so myllyla,positive
via satan acquisition delete plan expand market presence video service partner cable operator broadcaster it service provide,positive
acquisition company expand offer north central south america say,positive
extension new contract eight engine plant produce 100 my say,positive
it say acquisition part strategy expansion central eastern eur opean market,positive
aware product sale grow strongly financial period 24 percent,positive
second quarter 2010 firstquarter growth net sale since third quarter of2008 say magnum rise raiment co,positive
transaction strengthen position design brand good say fiskar president co heikki alone point two group relatively overlap operation,positive
1 february 2011 finnish textile clothing company marimekko of he mmo1v say today preliminary operating profit grow our 2 2010 our 3 2009,positive
finnish component publish new long strategy period 20112015 aim grow together customer,neutral
finnish large sign contract talvivaara project delivery filter talvivaara nickel mine sotkamo finland,positive
affect expect net sale whole 2010 increase 2009 level reach our 103 million,positive
cash flow operation rise our 527 in our 156 in 2007,positive
commission income rise 257 our 161 in our 128 in 2004,positive
component objective agreement increase business exist production line,positive
earning per share januaryjune 2010 our 30 increase 20 yearonyear our 25,positive
earning per share es rise our 011 our 003,positive
elia say mobile subscription grow 7 percent 2007 mainly customer adopt call third generation mobile technology,positive
es quarter come 036 our 033 our year ago ahead forecast 033 our,positive
es grow 004 our 002 our,positive
export grow 165 percent 191 million liner,positive
finnish investment group panostaja of say net profit go 86 man neur o 114 man fiscal 200506 end october 31 2006 28 man neur o 37 man period fiscal 200405,positive
finnish metal component supplier component of say net profit go 35 man neur o 45 man 2006 22 man neur o 28 man 2005,positive
finnish silicon water technology company mimetic of ox helsinki okm1v report thursday 30 october operating profit our 4 januaryseptember 2008 our 1 corresponding period 2007,positive
fiskar band report net sale our 1458 in our 1384 in,positive
geometric of resolution business unit gypsy mobile digital lifestyle application geomobility social networking platform sign agreement dancing meet make gypsy mobile social networking platform available customer china mobile,positive
helsinki ax outokumpu technology say sign 35 man our agreement magnolia ardent mining corporation engineering first hydrocopper plant build ardent mine site,positive
however proportion pay standing order grow 2009,positive
addition demand finland export lining stone product also increase,positive
januaryseptember 2007 group net sale continue operation rise our 2131 in our 1726 in corresponding period 2006,positive
julyseptember 2008 it net sale increase our 9708 in compare our 9068 in corresponding period 2007,positive
report period net sale rise 8 yearonyear eur 64 3 due business acquisition realize first half 200809 effect eur 10 9 review period,positive
report period company operating profit grow 432 our 6 million,positive
last year net sale rise our 683 million our 622 million,positive
last year company raise turnover approximately 7 million its our 2 man 61 million its 2004,positive
add news nov 18 2008 finnish ac drive manufacturer bacon of ox vac1v say today set new representative office rumania ukraine serve grow market eastern southwestern eur ope,positive
marimekko group full net sale estimate increase 10,positive
net sale urge 30 our 36 million,positive
net sale go 1 yearonyear our 29 million affect business acquisition realize previous financial period effect our 51 million review period,positive
nevertheless market share rise 4914 percent 4851 percent year early,positive
nikita world large mobile phone manufacturer china post china large mobile phone distributor longstanding partnership continue grow strong time,positive
octoberdecember sale 302 man our 253 put increase year year,positive
old control 94 percent stake ragutis le co say annual report publish early year lithuania brewery sale reach 1504 million eur ope last year rise 204 percent 1249 million eur ope 2004,positive
old expect sale market share increase first quarter 2010,positive
old target strengthen market share soft drink mineral water rider long drink energy drink,neutral
operate profit increase our 140 in our 49 in corresponding period 2005,positive
operate profit asia plant grow markedly,positive
operate profit total our 825 millionn our 763 millionn 2004,positive
operate profit total our 830 in our 235 in yearonyear,positive
production capacity increase 36 000 85 000 tone per year raw material continue recycle paper board,positive
profit period increase our 29 in our 105 in,positive
profit per share our 103 our 087,positive
return capital employ rise 48 percentage point 196,positive
revenue july september grow 21 percent neur o 23 billion finnish company say thursday,positive
revenue grow 1 percent eur o742 2 million us 964 million eur o735 million,positive
ruukki order book end 2010 30 yearonyear 10 quarteronquarter,positive
ruukki sign contract norwegian company veidekke entreprenor,positive
sale finland rise 39 international growth 07,positive
sale security system pack increase slightly,positive
story endo thirdquarter pretty profit double our 197 millionn,positive
strong growth see new market russia czech republic slovak,positive
airline order nine virus a350900 aircraft deliver 2011 become lead airline late variant rollsroyce trent series engine call 1700,positive
company intensify smelter operation increase annual production capacity 230000 tone copper,positive
company market share continue increase,positive
company schedule traffic measure revenue passenger kilometre up grow 2 nearly 3 passenger carry schedule flight february 2009,positive
company say investment new market area result sale increase sweden poland russia lithuania,positive
disposal autotank also strengthen asp capital structure comment gustave berg co asp,positive
earning per share quarter come 025 our 020 our quarter year early,positive
economic occupancy rate sonya property portfolio rise 912 888 2006,positive
finnish supplier boss vas telecom operator tecnotree receive expansion order worth total we 73 in convenient charge next generation essay solution latin america company announce without specify operator place order,positive
group month operating profit grow 31 percent 3378 million eur ope,positive
growth activeness talent customer start end 2009 continue reporting period company state,positive
growth net sale first half 2008 28 compare first half 2007,positive
pretty profit group life insurance business increase our 36 million our 27 million,positive
pretty profit group life insurance business increase eur 36 m eur 27 m,positive
total delivery volume paper business 2010 1155000 tone 1132000 tone 2009,positive
value firm forestry holding increase see 36 in,positive
new deal strengthen partnership telemig cellular tecnoman start since begin telemig repay operation,positive
turnover rise eur 21 m eur 17 m,positive
hero story endo term tailor agent shorten demand packing market,positive
it construction town riihimæki sign lease contract whereby town occupy travel centre office facility,positive
